County Name,State,5/26/2020,5/27/2020,5/28/2020,
Perry County,IL,40,40,40,0
Piatt County,IL,12,12,12,0
Pike County,IL,1,1,1,0
Pope County,IL,1,1,1,0
Pulaski County,IL,41,41,41,0
Putnam County,IL,1,1,1,0
Randolph County,IL,258,265,265,7
Richland County,IL,3,3,3,0
Rock Island County,IL,639,639,639,0
St. Clair County,IL,1018,1038,1048,20
Saline County,IL,7,7,7,0
Sangamon County,IL,335,335,348,0
Schuyler County,IL,10,12,12,2
Scott County,IL,0,0,0,0
Shelby County,IL,16,16,16,0
Stark County,IL,3,3,3,0
Stephenson County,IL,193,193,198,0
Tazewell County,IL,68,70,70,2
Union County,IL,140,140,154,0
Vermilion County,IL,38,38,38,0
Wabash County,IL,2,2,2,0
Warren County,IL,113,113,113,0
Washington County,IL,18,18,18,0
Wayne County,IL,9,9,9,0
White County,IL,2,2,2,0
Whiteside County,IL,134,134,134,0
Will County,IL,5261,5261,5341,0
Williamson County,IL,54,57,57,3
Winnebago County,IL,2004,2004,2100,0
Woodford County,IL,18,18,18,0
Adams County,IN,12,12,13,0
Allen County,IN,1309,1361,1361,52
Bartholomew County,IN,481,487,490,6
Benton County,IN,25,25,26,0
Blackford County,IN,20,20,22,0
Boone County,IN,285,299,309,14
Brown County,IN,32,32,32,0
Carroll County,IN,96,96,96,0
Cass County,IN,1575,1575,1575,0
Clark County,IN,461,471,479,10
Clay County,IN,39,41,46,2
Clinton County,IN,221,221,221,0
Crawford County,IN,23,23,23,0
Daviess County,IN,82,83,83,1
Dearborn County,IN,163,163,163,0
Decatur County,IN,222,222,222,0
DeKalb County,IN,30,33,33,3
Delaware County,IN,358,359,374,1
Dubois County,IN,187,187,187,0
Elkhart County,IN,1062,1070,1104,8
Fayette County,IN,69,70,75,1
Floyd County,IN,316,316,317,0
Fountain County,IN,18,18,18,0
Franklin County,IN,109,109,109,0
Fulton County,IN,47,47,47,0
Gibson County,IN,14,14,14,0
Grant County,IN,191,195,195,4
Greene County,IN,162,162,162,0
Hamilton County,IN,1109,1109,1138,0
Hancock County,IN,318,327,327,9
Harrison County,IN,188,188,189,0
Hendricks County,IN,1128,1128,1143,0
Henry County,IN,164,167,167,3
Howard County,IN,368,376,377,8
Huntington County,IN,26,26,26,0
Jackson County,IN,365,365,377,0
Jasper County,IN,58,62,62,4
Jay County,IN,45,46,48,1
Jefferson County,IN,41,42,43,1
Jennings County,IN,127,128,128,1
Johnson County,IN,1084,1098,1098,14
Knox County,IN,26,26,26,0
Kosciusko County,IN,94,97,97,3
LaGrange County,IN,60,62,65,2
Lake County,IN,3346,3346,3516,0
LaPorte County,IN,415,415,421,0
Lawrence County,IN,144,144,151,0
Madison County,IN,585,585,585,0
Marion County,IN,9235,9353,9538,118
Marshall County,IN,74,74,74,0
Martin County,IN,9,9,9,0
Miami County,IN,134,134,145,0
Monroe County,IN,159,159,168,0
Montgomery County,IN,231,231,231,0
Morgan County,IN,259,270,279,11
Newton County,IN,74,74,76,0
Noble County,IN,188,191,205,3
Ohio County,IN,13,13,13,0
Orange County,IN,124,124,124,0
Owen County,IN,34,34,34,0
Parke County,IN,17,17,17,0
Perry County,IN,26,26,28,0
Pike County,IN,6,6,6,0
Porter County,IN,488,494,503,6
Posey County,IN,16,16,16,0
Pulaski County,IN,39,39,42,0
Putnam County,IN,134,134,134,0
Randolph County,IN,43,44,44,1
Ripley County,IN,111,111,111,0
Rush County,IN,45,45,45,0
St. Joseph County,IN,1197,1216,1225,19
Scott County,IN,119,119,119,0
Shelby County,IN,314,319,371,5
Spencer County,IN,17,17,18,0
Starke County,IN,31,31,32,0
Steuben County,IN,79,79,81,0
Sullivan County,IN,32,33,34,1
Switzerland County,IN,18,18,18,0
Tippecanoe County,IN,373,378,382,5
Tipton County,IN,24,24,24,0
Union County,IN,8,8,8,0
Vanderburgh County,IN,249,254,259,5
Vermillion County,IN,9,10,10,1
Vigo County,IN,146,150,153,4
Wabash County,IN,71,71,75,0
Warren County,IN,12,12,12,0
Warrick County,IN,164,165,165,1
Washington County,IN,51,51,51,0
Wayne County,IN,71,75,75,4
Wells County,IN,24,26,26,2
White County,IN,225,229,229,4
Whitley County,IN,38,38,38,0
Adair County,IA,7,7,8,0
